연번,년도,프로그램,파견학기,소속대학(원),소속학과,파견국,파견자매대학,,,,,,,,,
208,2022,교환,2022.1학기,경영대학,경영학과,캐나다,몬트리올대학,,,,,,,,,
209,2022,교환,2022.1학기,경제통상대학,국제학부,스페인,폼페우파브라대학,,,,,,,,,
210,2022,교환,2022.1학기,생명자원과학대학,원예생명과학과,싱가포르,난양이공대학,,,,,,,,,
211,2022,교환,2022.1학기,사범대학,불어교육과,프랑스,장조레스뚤레주대학,,,,,,,,,
212,2022,교환,2022.1학기,예술대학,미술학과,스웨덴,쇠데르테른대학,,,,,,,,,
213,2022,교환,2022.1학기,경제통상대학,무역학부,스웨덴,쇠데르테른대학,,,,,,,,,
214,2022,교환,2022.1학기,자연과학대학,분자생물학과,일본,오사카대학,,,,,,,,,
215,2022,교환,2022.1학기,스포츠과학부,스포츠과학부,독일,뮌헨공대,,,,,,,,,
216,2022,교환,2022.1학기,자연과학대학,대기환경과학과,일본,규슈대학,,,,,,,,,
217,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
218,2022,교환,2022.1학기,사회과학대학,정치외교학과,스페인,데우스토대학,,,,,,,,,
219,2022,교환,2022.1학기,인문대학,일어일문학과,캐나다,몬트리올대학,,,,,,,,,
220,2022,교환,2022.1학기,자연과학대학,미생물학과,독일,비아드리나유럽대학,,,,,,,,,
221,2022,교환,2022.1학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
222,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
223,2022,교환,2022.1학기,경제통상대학,공공정책학부,리투아니아,빌뉴스대학,,,,,,,,,
224,2022,교환,2022.1학기,생활환경대학,실내환경디자인학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
225,2022,교환,2022.1학기,공과대학,유기소재시스템공학과,독일,오스나브뤼크응용과학대학 경영 사회과학대,,,,,,,,,
226,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
227,2022,교환,2022.1학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
228,2022,교환,2022.1학기,생명자원과학대학,IT응용공학과,독일,뮌헨응용과학대학,,,,,,,,,
229,2022,교환,2022.1학기,생명자원과학대학,생명환경화학과,중국,북경이공대학,,,,,,,,,
230,2022,교환,2022.1학기,공과대학,기계공학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
231,2022,교환,2022.1학기,공과대학,전기공학과,독일,비아드리나유럽대학,,,,,,,,,
232,2022,교환,2022.1학기,경제통상대학,무역학부,독일,만하임대학,,,,,,,,,
233,2022,교환,2022.1학기,공과대학,기계공학부,미국,뉴햄프셔대학,,,,,,,,,
234,2022,교환,2022.1학기,공과대학,기계공학부,독일,뮌헨공대,,,,,,,,,
235,2022,교환,2022.1학기,예술대학,조형학과,프랑스,앙제대학,,,,,,,,,
236,2022,교환,2022.1학기,경제통상대학,관광컨벤션학과,독일,만하임대학,,,,,,,,,
237,2022,교환,2022.1학기,생명자원과학대학,바이오소재과학과,이탈리아,베네치아카포스카리대학,,,,,,,,,
238,2022,교환,2022.1학기,생활환경대학,식품영양학과,핀란드,이위베스퀼레대학,,,,,,,,,
239,2022,교환,2022.1학기,생활환경대학,실내환경디자인학과,스웨덴,쇠데르테른대학,,,,,,,,,
240,2022,교환,2022.1학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
241,2022,교환,2022.1학기,인문대학,일어일문학과,스웨덴,쇠데르테른대학,,,,,,,,,
242,2022,교환,2022.1학기,경영대학,경영학과,핀란드,이위베스퀼레대학,,,,,,,,,
243,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
244,2022,교환,2022.1학기,스포츠과학부,스포츠과학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
245,2022,교환,2022.1학기,사회과학대학,정치외교학과,싱가포르,싱가포르경영대학,,,,,,,,,
246,2022,교환,2022.1학기,사회과학대학,문헌정보학과,일본,구마모토대학,,,,,,,,,
247,2022,교환,2022.1학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
248,2022,교환,2022.1학기,사회과학대학,미디어커뮤니케이션학과,일본,오이타대학,,,,,,,,,
249,2022,교비/글로벌,2022.1학기,인문대학,일어일문학과,몰타,몰타대학,,,,,,,,,
250,2022,교비/글로벌,2022.1학기,생활환경대학,식품영양학과,영국,리즈대학,,,,,,,,,
251,2022,교비/글로벌,2022.1학기,생명자원과학대학,식품자원경제학과,영국,셰필드대학,,,,,,,,,
252,2022,교비/글로벌,2022.1학기,생명자원과학대학,바이오산업기계공학과,몰타,몰타대학,,,,,,,,,
253,2022,교비/글로벌,2022.1학기,자연과학대학,대기환경과학과,영국,리즈대학,,,,,,,,,
254,2022,교비/글로벌,2022.1학기,공과대학,건설융합학부,몰타,몰타대학,,,,,,,,,
255,2022,교비/글로벌,2022.1학기,인문대학,독어독문학과,몰타,몰타대학,,,,,,,,,
256,2022,교비/글로벌,2022.1학기,인문대학,영어영문학과,영국,리즈대학,,,,,,,,,
257,2022,교환/단위기관,2022.1학기,인문대학,독어독문학과,독일,라이프니쯔하노버대학,,,,,,,,,
258,2022,교환/단위기관,2022.1~2022.2학기,인문대학,일어일문학과,일본,고베대학,,,,,,,,,
259,2022,교비/글로벌,2022.1학기,인문대학,일어일문학과,몰타,몰타대학,,,,,,,,,
260,2022,교비/글로벌,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
261,2022,교비/글로벌,2022.1학기,사회과학대학,행정학과,몰타,몰타대학,,,,,,,,,
262,2022,교비/글로벌,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
263,2022,교비/글로벌,2022.1학기,경제통상대학,관광컨벤션학과,몰타,몰타대학,,,,,,,,,
264,2022,교비/글로벌,2022.1학기,인문대학,중어중문학과,중국,화동사범대학,,,,,,,,,
265,2022,교비/글로벌,2022.1학기,경영대학,경영학과,영국,셰필드대학,,,,,,,,,
266,2022,자비,2022.1학기,경영대학,경영학과,독일,마르부르크필립스대학,,,,,,,,,
267,2022,자비,2022.1학기,경영대학,경영학과,독일,바이로이트대학,,,,,,,,,
268,2022,자비,2022.1학기,공과대학,건설융합학부,독일,뮌헨공대,,,,,,,,,
269,2022,복수학위,2022.1학기,대학원(석),글로벌교원전공,미국,노스앨라배마대학,,,,,,,,,
270,2022,복수학위,2022.1학기,대학원(석),글로벌교원전공,미국,노스앨라배마대학,,,,,,,,,
271,2021,복수학위,2021.2학기,대학원(석),조선해양공학과,미국,텍사스A&M대학,,,,,,,,,
272,2021,복수학위,2021.2학기,대학원(석),조선해양공학과,미국,텍사스A&M대학,,,,,,,,,
273,2021,복수학위,2021.2학기,대학원(석),조선해양공학과,영국,스트라스클라이드대학,,,,,,,,,
274,2022,복수학위,2022.2학기,대학원(박),인지메카트로닉스공학과,프랑스,그르노블알프스대학,,,,,,,,,
275,2022,복수학위,2022.2학기,대학원(석),조선해양공학과,영국,뉴캐슬대학,,,,,,,,,
276,2022,복수학위,2022.2학기,대학원(석),조선해양공학과,영국,스트라스클라이드대학,,,,,,,,,
277,2022,교비/SAM,2022.2학기,인문대학,중어중문학과,중국,북경대학,,,,,,,,,
278,2022,교비/SAM,2022.2학기,인문대학,중어중문학과,중국,북경대학,,,,,,,,,
279,2022,교비/SAM,2022.2학기,인문대학,중어중문학과,중국,북경대학,,,,,,,,,
280,2022,교환/SAM,2022.2학기,인문대학,노어노문학과,스위스,취리히대학,,,,,,,,,
281,2022,교환,2022.2학기,예술대학,디자인학과,독일,아우크스부르크대학,,,,,,,,,
282,2022,교환,2022.2학기,인문대학,영어영문학과,미국,버지니아 연방주립대학,,,,,,,,,
283,2022,교환,2022.2학기,공과대학,전기컴퓨터공학부,미국,뉴욕주립대학(오스웨고) ,,,,,,,,,
284,2022,교환,2022.2학기,경영대학,경영학과,미국,뉴욕주립대학(오스웨고) ,,,,,,,,,
285,2022,교환,2022.2학기,경제통상대학,무역학부,핀란드,투르쿠대학,,,,,,,,,
286,2022,교환,2022.2학기,생명자원과학대학,바이오환경에너지학과,일본,오사카대학,,,,,,,,,
287,2022,교환,2022.2학기,인문대학,중어중문학과,네덜란드,레이덴대학,,,,,,,,,
288,2022,교환,2022.2학기,사회과학대학,미디어커뮤니케이션학과,미국,뉴햄프셔대학 (UNH),,,,,,,,,
289,2022,교환,2022.2학기,사범대학,영어교육과,호주,뉴사우스웨일스대학,,,,,,,,,
290,2022,교환,2022.2학기,경제통상대학,경제학부,프랑스,리용3대학,,,,,,,,,
291,2022,교환,2022.2학기,생명자원과학대학,바이오소재과학과,프랑스,쎄르지뽕뚜아즈대학,,,,,,,,,
292,2022,교환,2022.2학기,공과대학,건설융합학부,싱가포르,난양이공대학,,,,,,,,,
293,2022,교환,2022.2학기,인문대학,영어영문학과,스페인,부르고스대학,,,,,,,,,
294,2022,교환,2022.2학기,공과대학,화공생명.환경공학부,독일,뮌헨공대,,,,,,,,,
295,2022,교환,2022.2학기,인문대학,영어영문학과,호주,뉴사우스웨일스대학,,,,,,,,,
296,2022,교환,2022.2학기,경영대학,경영학과,일본,규슈대학,,,,,,,,,
297,2022,교환,2022.2학기,인문대학,중어중문학과,네덜란드,네이메헌라드바우드대학,,,,,,,,,
298,2022,교환,2022.2학기,스포츠과학부,스포츠과학부,독일,바이로이트대학,,,,,,,,,
299,2022,교환,2022.2학기,생명자원과학대학,생명환경화학과,스웨덴,쇠데르테른대학,,,,,,,,,
300,2022,교환,2022.2학기,공과대학,전기공학과,독일,뮌헨응용과학대학,,,,,,,,,
301,2022,교환,2022.2학기,경영대학,경영학과,프랑스,리용3대학,,,,,,,,,
302,2022,교환,2022.2학기,경영대학,경영학과,독일,밤베르크대학,,,,,,,,,
303,2022,교환,2022.2학기,사범대학,불어교육과,프랑스,파리7대학,,,,,,,,,
304,2022,교환,2022.2학기,경영대학,경영학과,독일,바이로이트대학,,,,,,,,,
305,2022,교환,2022.2학기,인문대학,영어영문학과,영국,서식스대학,,,,,,,,,
306,2022,교환,2022.2학기,경영대학,경영학과,스페인,폼페우파브라대학,,,,,,,,,
307,2022,교환,2022.2학기,인문대학,독어독문학과,독일,아우크스부르크대학,,,,,,,,,
308,2022,교환,2022.2학기,사범대학,불어교육과,프랑스,동양어문학대학,,,,,,,,,
309,2022,교환,2022.2학기,사회과학대학,문헌정보학과,영국,서식스대학,,,,,,,,,
310,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,쎄르지뽕뚜아즈대학,,,,,,,,,
311,2022,교환,2022.2학기,생명자원과학대학,바이오환경에너지학과,독일,다름슈타트공대 (TU Darmstadt),,,,,,,,,
312,2022,교환,2022.2학기,정보의생명공학대학,의생명융합공학부,독일,다름슈타트공대 (TU Darmstadt),,,,,,,,,
313,2022,교환,2022.2학기,생명자원과학대학,원예생명과학과,스페인,데우스토대학,,,,,,,,,
314,2022,교환,2022.2학기,경제통상대학,무역학부,독일,호헨하임대학,,,,,,,,,
315,2022,교환,2022.2학기,사범대학,독어교육과,독일,아우크스부르크대학,,,,,,,,,
316,2022,교환,2022.2학기,생명자원과학대학,식품자원경제학과,캐나다,몬트리올대학,,,,,,,,,
317,2022,교환,2022.2학기,인문대학,언어정보학과,리투아니아,빌뉴스대학,,,,,,,,,
318,2022,교환,2022.2학기,공과대학,고분자공학과,독일,라이프니쯔하노버대학,,,,,,,,,
319,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,파리7대학,,,,,,,,,
320,2022,교환,2022.2학기,경제통상대학,무역학부,독일,바이로이트대학,,,,,,,,,
321,2022,교환,2022.2학기,경제통상대학,무역학부,독일,오스나브뤼크응용과학대학 경영사회대학,,,,,,,,,
322,2022,교환,2022.2학기,생명자원과학대학,조경학과,스페인,데우스토대학,,,,,,,,,
323,2022,교환,2022.2학기,자연과학대학,미생물학과,독일,뮌헨응용과학대학,,,,,,,,,
324,2022,교환,2022.2학기,공과대학,기계공학부,독일,뮌헨공대,,,,,,,,,
325,2022,교환,2022.2학기,경제통상대학,무역학부,이탈리아,베네치아카포스카리대학,,,,,,,,,
326,2022,교환,2022.2학기,생활환경대학,실내환경디자인학과,캐나다,몬트리올대학,,,,,,,,,
327,2022,교환,2022.2학기,자연과학대학,대기환경과학과,이탈리아,베네치아카포스카리대학,,,,,,,,,
328,2022,교환,2022.2학기,경영대학,경영학과,독일,뮌헨응용과학대학,,,,,,,,,
329,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
330,2022,교환,2022.2학기,경영대학,경영학과,일본,사이타마대학,,,,,,,,,
331,2022,교환,2022.2학기,자연과학대학,대기환경과학과,독일,다름슈타트공대 (TU Darmstadt),,,,,,,,,
332,2022,교환,2022.2학기,경제통상대학,관광컨벤션학과,프랑스,리용3대학,,,,,,,,,
333,2022,교환,2022.2학기,나노과학기술대학,나노에너지공학과,폴란드,브로츠와프대학,,,,,,,,,
334,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
335,2022,교환,2022.2학기,생활환경대학,실내환경디자인학과,스페인,알메리아대학,,,,,,,,,
336,2022,교환,2022.2학기,경영대학,경영학과,프랑스,리용3대학,,,,,,,,,
337,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,장조레스뚤레주대학,,,,,,,,,
338,2022,교환,2022.2학기,사범대학,일반사회교육과,영국,서식스대학,,,,,,,,,
339,2022,교환,2022.2학기,공과대학,기계공학부,일본,홋카이도대학,,,,,,,,,
340,2022,교환,2022.2학기,경제통상대학,국제학부,캐나다,몬트리올대학,,,,,,,,,
341,2022,교환,2022.2학기,사범대학,지구과학교육과,프랑스,ESME 수드리아,,,,,,,,,
342,2022,교환,2022.2학기,경영대학,경영학과,캐나다,몬트리올대학,,,,,,,,,
343,2022,교환,2022.2학기,인문대학,영어영문학과,독일,오스나브뤼크응용과학대학 경영사회대학,,,,,,,,,
344,2022,교환,2022.2학기,생명자원과학대학,식품공학과,일본,오사카대학,,,,,,,,,
345,2022,교환,2022.2학기,자연과학대학,수학과,일본,오사카대학,,,,,,,,,
346,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
347,2022,교환,2022.2학기,경영대학,경영학과,폴란드,브로츠와프대학,,,,,,,,,
348,2022,교환,2022.2학기,자연과학대학,지질환경과학과,스페인,데우스토대학,,,,,,,,,
349,2022,교환,2022.2학기,경제통상대학,경제학부,독일,만하임대학,,,,,,,,,
350,2022,교환,2022.2학기,인문대학,영어영문학과,독일,만하임대학,,,,,,,,,
351,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,동양어문학대학,,,,,,,,,
352,2022,교환,2022.2학기,공과대학,건설융합학부,스웨덴,쇠데르테른대학,,,,,,,,,
353,2022,교환,2022.2학기,예술대학,디자인학과,독일,라이프니쯔하노버대학,,,,,,,,,
354,2022,교환,2022.2학기,사범대학,불어교육과,프랑스,장조레스뚤레주대학,,,,,,,,,
355,2022,교환,2022.2학기,사회과학대학,미디어커뮤니케이션학과,독일,레겐스부르크대학,,,,,,,,,
356,2022,교환,2022.2학기,예술대학,예술문화영상학과,미국,미네소타주립대학,,,,,,,,,
357,2022,교환,2022.2학기,경제통상대학,무역학부,독일,츠비카우응용과학대학교,,,,,,,,,
358,2022,교환,2022.2학기,스포츠과학부,스포츠과학부,스페인,데우스토대학,,,,,,,,,
359,2022,교환,2022.2학기,정보의생명공학대학,의생명융합공학부,리투아니아,빌뉴스대학,,,,,,,,,
360,2022,교환,2022.2학기,자연과학대학,대기환경과학과,핀란드,이위베스퀼레대학,,,,,,,,,
361,2022,교환,2022.2학기,자연과학대학,대기환경과학과,독일,오스나브뤼크응용과학대학 경영사회대학,,,,,,,,,
362,2022,교환,2022.2학기,정보의생명공학대학,의생명융합공학부,프랑스,ESME 수드리아,,,,,,,,,
363,2022,교환,2022.2학기,스포츠과학부,스포츠과학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
364,2022,교환,2022.2학기,인문대학,노어노문학과,일본,시즈오카대학,,,,,,,,,
365,2022,교환,2022.2학기,사회과학대학,미디어커뮤니케이션학과,일본,지바대학,,,,,,,,,
366,2022,교환,2022.2학기,생명자원과학대학,조경학과,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
367,2022,교환,2022.2학기,예술대학,예술문화영상학과,일본,지바대학,,,,,,,,,
368,2022,교환,2022.2학기,생활환경대학,의류학과,일본,관서학원대학,,,,,,,,,
369,2022,교환,2022.2학기,공과대학,기계공학부,미국,뉴햄프셔대학 (UNH),,,,,,,,,
370,2022,교환,2022.2학기,생활환경대학,실내환경디자인학과,캐나다,몬트리올대학,,,,,,,,,
371,2022,교환,2022.2학기,경영대학,경영학과,독일,브레멘응용과학대학 사회과학대,,,,,,,,,
372,2022,교환,2022.2학기,경영대학,경영학과,중국,산동대학,,,,,,,,,
373,2022,교환,2022.2학기,경제통상대학,무역학부,스페인,무르시아카톨릭대학,,,,,,,,,
374,2022,교환,2022.2학기,인문대학,독어독문학과,독일,만하임대학,,,,,,,,,
375,2022,교환,2022.2학기,경제통상대학,무역학부,스페인,알메리아대학,,,,,,,,,
376,2022,교환,2022.2학기,생명자원과학대학,식물생명과학과,독일,오스나브뤼크응용과학대학 농업조경학대학,,,,,,,,,
377,2022,교환,2022.2학기,생활환경대학,식품영양학과,독일,비아드리나유럽대학,,,,,,,,,
378,2022,교환,2022.2학기,공과대학,건설융합학부,프랑스,ESME 수드리아,,,,,,,,,
379,2022,교환,2022.2학기,경제통상대학,무역학부,스페인,라스팔마스대학,,,,,,,,,
380,2022,교환,2022.2학기,공과대학,조선·해양공학과,스페인,부르고스대학,,,,,,,,,
381,2022,교환,2022.2학기,인문대학,독어독문학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
382,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,보르도몽테뉴대학,,,,,,,,,
383,2022,교환,2022.2학기,인문대학,불어불문학과,프랑스,보르도몽테뉴대학,,,,,,,,,
384,2022,교환,2022.2학기,인문대학,영어영문학과,캐나다,매니토바대학,,,,,,,,,
385,2022,교환,2022.2학기,인문대학,영어영문학과,독일,에어랑엔-뉘른베르크대학,,,,,,,,,
386,2022,교환,2022.2학기,사범대학,역사교육과,일본,히로사키대학,,,,,,,,,
387,2022,교환,2022.2학기,인문대학,노어노문학과,독일,푸트르방겐대학,,,,,,,,,
388,2022,교환,2022.2학기,인문대학,언어정보학과,호주,커튼대학,,,,,,,,,
389,2022,교환,2022.2학기,공과대학,기계공학부,독일,뮌헨응용과학대학,,,,,,,,,
390,2022,교환,2022.2학기,인문대학,중어중문학과,싱가포르,싱가포르경영대학,,,,,,,,,
391,2022,교환,2022.2학기,경제통상대학,경제학부,영국,스완지대학,,,,,,,,,
392,2022,교환,2022.2학기,사범대학,교육학과,독일,만하임대학,,,,,,,,,
393,2022,교환,2022.2학기,공과대학,전자공학과,독일,밤베르크대학,,,,,,,,,
394,2022,교환,2022.2학기,예술대학,디자인학과,일본,사이타마대학,,,,,,,,,
395,2022,교환,2022.2학기,사회과학대학,미디어커뮤니케이션학과,핀란드,이위베스퀼레대학,,,,,,,,,
396,2022,교환,2022.2학기,공과대학,전기공학과,프랑스,장모네대학 (UJM),,,,,,,,,
397,2022,교환,2022.2학기,사범대학,지리교육과,독일,밤베르크대학,,,,,,,,,
398,2022,교환,2022.2학기,사범대학,일반사회교육과,독일,라이프니쯔하노버대학,,,,,,,,,
399,2022,교환,2022.2학기,사범대학,지구과학교육과,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
400,2022,교환,2022.2학기,사범대학,불어교육과,프랑스,리용3대학,,,,,,,,,
401,2022,교환,2022.2학기,스포츠과학부,스포츠과학부,프랑스,장모네대학 (UJM),,,,,,,,,
402,2022,교환,2022.2학기,공과대학,건설융합학부,스페인,알메리아대학,,,,,,,,,
403,2022,교환,2022.2학기,경영대학,경영학과,프랑스,ESCE 국제경영대학 (ESCE),,,,,,,,,
404,2022,교환,2022.2학기,경제통상대학,공공정책학부,노르웨이,인랜드노르웨이응용과학대학,,,,,,,,,
405,2022,교환,2022.2학기,인문대학,영어영문학과,스페인,부르고스대학,,,,,,,,,
406,2022,교환,2022.2학기,공과대학,유기소재시스템공학과,핀란드,이위베스퀼레대학,,,,,,,,,
407,2022,교환,2022.2학기,경제통상대학,경제학부,독일,츠비카우응용과학대학교,,,,,,,,,
408,2022,교비/글로벌,2022.2학기,경영대학,경영학과,호주,그리피스대학,,,,,,,,,
409,2022,교비/글로벌,2022.2학기,공과대학,전자공학과,영국,리즈대학,,,,,,,,,
410,2022,교비/글로벌,2022.2학기,경제통상대학,무역학부,호주,그리피스대학,,,,,,,,,
411,2022,교비/글로벌,2022.2학기,생활환경대학,의류학과,영국,리즈대학,,,,,,,,,
412,2022,교비/글로벌,2022.2학기,자연과학대학,미생물학과,호주,그리피스대학,,,,,,,,,
413,2022,교비/글로벌,2022.2학기,경영대학,경영학과,영국,리즈대학,,,,,,,,,
414,2022,교환/단위기관,2022.2학기,공과대학,건설융합학부,오스트리아,비엔나공과대학,,,,,,,,,
415,2022,교환/단위기관,2022.2학기,공과대학,건설융합학부,오스트리아,비엔나공과대학,,,,,,,,,
416,2022,교환/단위기관,2022.2학기,인문대학,일어일문학과,일본,메지로대학,,,,,,,,,